reference,date,position,navArea,subreg,hostility,victim,description,
2008-245,2008-07-19,"4°34'00""N
6°22'00""E",II,57,Pirate Attack,Passenger Boat,"NIGERIA: Passenger boat attacked by unidentified gunmen 19 Jul 08, near Obioku, Nembe, Bayelsa State. A vessel traveling to Yenagoa, the Bayelsa state capital, with reportedly seven passengers including four Joint Task Force (JTF) soldiers was reported missing. The military reportedly believes they were killed by sea pirates; however local media sources stated that they may have been attacked by suspected militants. Commander of the JTF in Bayelsa, Lt-Col Chris Musa, confirmed a shoot out between JTF and the unidentified gunmen and that security operatives were searching for the perpetrators of the attack. On 21 Jul 08, five bodies were recovered in the Nembe council area of Bayelsa state in Nigeria's Niger Delta oil region (LM: The Punch, Nigerian Tribune, AFP).",
2008-249,2008-07-18,"12°47'30""N
51°02'00""E",IX,62,Suspisious Approach,Container Vessel,"GULF OF ADEN: Container ship reported aggressive skiffs 18 Jul 08 at 0720 UTC while steaming in position 12-47.5N 051-02E, approximately 48NM north of Caluula, Somalia. Two, six meter yellow fiberglass crafts with 5-6 heavily armed men chased the vessel. The vessel was traveling at 25knts when it was overtaken by pirates on the port side. The master estimated the speed of the pirates at approximately 30knts. The vessel took evasive maneuvers, raised the alarm, and the crew prepared fire hoses. Suspected pirates moved away. No weapons were released and the vessel continued its voyage to Singapore (Operator, UKMTO, IMB).",
2008-247,2008-07-16,"4°27'00""N
7°10'00""E",II,57,Pirate Attack,Naval Houseboat,"NIGERIA: Naval Houseboat attacked 16 Jul 08 at 0200 local time, Bonny, Rivers State. The vessel was guarding oil installation facilities belonging to Shell Petroleum Development, when local sources claimed that more than 30 militants in speedboats attacked the naval vessel. A spokesman at Joint Task Force confirmed the attack and said that naval men responded in self defense, adding that the gun battle lasted at least two hours. It was also stated that three suspected militants were killed. Five people, including a civilian and a naval officer were also reportedly killed and several wounded in the shootout. No one has claimed responsibility for the attack (AP, REUTERS, LM: allafrica.com).",
2008-246,2008-07-16,"4°40'22""N
7°06'14""E",II,57,Pirates,Bulk Carrier,"NIGERIA: Bulk carrier boarded, robbed 16 Jul 08 at 0028 UTC while in position 04-40.37N 007-06.23E, Bonny River Anchorage. Eight armed and two unarmed militants boarded the vessel via a barge alongside. They incapacitated the local security guards and entered the accommodation. They manhandled the crew and damaged the accommodation. The militants stole the crews personal belongings, ship's cash, and property. No injuries to the crew were reported. SSAS activated (IMB).",
2008-238,2008-07-16,"4°27'00""N
7°10'00""E",II,57,Militants,Naval Houseboat,"NIGERIA: Naval Houseboat attacked 16 Jul 08 at 0200 local time, Bonny, Rivers State. The vessel was guarding oil installation facilities belonging to Shell Petroleum Development, when local sources claimed that more than 30 militants in speedboats attacked the naval vessel. A spokesman at Joint Task Force confirmed the attack and said that naval men responded in self defense, adding that the gun battle lasted at least two hours. It was also stated that three suspected militants were killed. Five people, including a civilian and a naval officer were also reportedly killed and several wounded in the shootout. No one has claimed responsibility for the attack (AP, REUTERS, LM: allafrica.com).",
2008-251,2008-07-15,"13°13'00""N
49°27'00""E",IX,62,Suspicious Approach,Container Ship,"GULF OF ADEN: Container ship reported suspicious approach 15 Jul 08 at 0735 local time, 125NM northwest of Caluula, Somalia. Vessel was approached by two speedboats, which finally turned away (Operator, UKMTO).",
2008-250,2008-07-15,"13°31'00""N
49°11'00""E",IX,62,Pirate Attack,Chemical Tanker,"GULF OF ADEN: Chemical tanker fired upon 15 Jul 08 at 1030 local time while underway in position 13-31N 049-11E, 131NM northwest of Caluula, Somalia. The vessel was enroute Red Sea to Dahej, India when the master reported two boats in vicinity at the time of attack. One vessel was a blue fiberglass fast boat, and the other fitted the description of a local wooden fishing vessel. The boats approached on the port side shooting. The master was unable to confirm whether the boats were working together, or it was a coincidence that they were in the vicinity together. Similarly, the master was unable to confirm if fire was taken from one or both of the vessels. The master reported four hits, three high on the accommodation housing leaving dents, and one hit on the radar mast. No injuries to crew. Vessel continued voyage (Operator, UKMTO, IMB).",
2008-239,2008-07-15,"4°46'00""N
7°01'00""E",II,57,Militants,Bulk Carrier,"NIGERIA: Bulk carrier boarded, robbed 15 Jul 08 at 0315 local time, 0115 UTC, at Port Harcourt. The ship's captain stated that five heavily armed militants boarded the Norwegian vessel. A rescue centre spokesperson stated that there were 8-10 armed pirates. The attackers tied up the crew and roughed up some of them while stealing equipment and money from the vessel. The Joint Rescue Coordination Centre for southern Norway was alerted about the attack. The attackers did not leave the vessel until 0645 local time. There were no serious injuries. The vessel was reportedly manned by a 22 Indian crew (REUTERS, LM: Bloomberg.com, International Herald Tribune, iol.co.za).",
2008-255,2008-07-13,"14°34'00""N
120°59'00""E",XI,91,Pirates,LPG Tanker,"PHILIPPINES: LPG tanker boarded 13 Jul 08 at 0250 local time, Manila Quarantine Anchorage. The shore security guard noticed four robbers on the forecastle of the vessel armed with knives and pipes, while the crew was busy preparing to receive bunkers. The robbers attempted to assault the shore guard who alerted the crew. Upon seeing the alert crew approaching, the robbers jumped overboard and escaped in two waiting boats. The boats had around 12 more robbers in them. No injuries to crew. Ship's equipment stolen (IMB).",
2008-243,2008-07-13,"18°34'00""N
72°24'00""W",IV,26,Pirates,General Cargo Vessel,"HAITI: General cargo ship boarded, robbed 13 Jul 08 at 2040 local time while in position 18-34N 072-24W, Port Au Prince Anchorage. The duty AB on board the vessel noticed six robbers on the forecastle stealing ships stores. Ship alert was raised and the crew mustered. Upon seeing the alert crew, the robbers jumped overboard and escaped. Two vessels were noticed moving away from the ship. The port control was informed of the incident (IMB).",
2008-252,2008-07-12,"10°45'00""N
79°50'00""E",VIII,63,unknown,unknown,"INDIA: Sri Lankan Navy (SLN) reportedly fired upon fishing vessel, fishermen killed 12 Jul 08, early morning, off Point Calimere. According to an injured fisherman on board the vessel at the time, two of his fellow fishermen were killed by the SLN in an ¿unprovoked¿ fight. The SLN however, denies killing the two fishermen. The SLN, for its part, has consistently maintained that it does not cross the International Maritime Boundary Line and enter into Indian waters. The Navy also possesses sophisticated navigation equipment which ensures that they do not trespass into Indian waters nor attack Indian fishermen, according to the SLN (LM: Tamil Nadu, Asiantribune.com).",
2008-240,2008-07-12,"9°50'00""N
79°24'00""E",VIII,63,Unknown,Fishing Vessel,"INDIA: Sri Lankan Navy (SLN) reportedly fired upon fishing vessel, fishermen killed 12 Jul 08, early morning, off Point Calimere. According to an injured fisherman on board the vessel at the time, two of his fellow fishermen were killed by the SLN in an ¿unprovoked¿ fight. The SLN however, denies killing the two fishermen. The SLN, for its part, has consistently maintained that it does not cross the International Maritime Boundary Line and enter into Indian waters. The Navy also possesses sophisticated navigation equipment which ensures that they do not trespass into Indian waters nor attack Indian fishermen, according to the SLN (LM: Tamil Nadu, Asiantribune.com).",
2008-241,2008-07-11,"6°06'32""S
106°53'41""E",XI,71,Pirates,General Cargo Vessel,"INDONESIA: General cargo vessel boarded, robbed 11 Jul 08 at 0655 local time while in position 06-02.54S 106-53.68E, Jakarta Anchorage. Robbers attempted to board the vessel on four different occasions before finally succeeding. The robbers stole ship¿s stores and escaped. Port authorities were informed and came onboard to investigate (IMB).",
2008-231,2008-07-09,"9°14'00""N
80°50'00""E",VIII,63,UNKNOWN,UNKNOWN,"SRI LANKA: Sri Lanka Air Force (SLAF) attack LTTE flotilla 9 Jul 08 at 0800 local time, off Mullaittivu coast. An LTTE boat was destroyed in the attack, Air Force Spokesperson Wing Commander Janaka Nanayakkara said, added that a few other vessels were also believed to be damaged during the air sortie. Further, citing intercepted LTTE communication, two LTTE self styled 'majors' were killed and many others injured in the simultaneous air strikes launched at a high profile LTTE gathering point at Vaddakkachchi in Kilinochchi district (AP, LM: Ministry of Defence).",
2008-259,2008-07-08,"3°46'00""N
9°19'00""E",II,57,Pirates,Unknown Vessel,"CAMEROON: Vessel boarded, robbed 8 Jul 2008, while in position 03-46N 009-19E, approximately 27NM southwest of the port of Douala. The vessel was bound for the port of Douala when gunshots were heard around 0200. The crew went outside and observed a locally made fiberglass speed boat approximately 12 meters in length which had been tied up along the port side below the rescue boat. Two pirates were making their way onboard, while two others were already onboard holding automatic weapons. A total of five pirates boarded the vessel and all carried weapons. They were of African decent who spoke English and wore black bandannas covering their heads. The crew was instructed to stop the vessel and comply. All crew members were robbed of their money and personal belongings. Several work vests, one fire axe, and four portable VHF radios were also stolen. Shots were fired during the robbery to intimidate the victims and damage some of the electrical equipment. One engineer was injured as he was struck on the back of his shoulder with a gun and on his legs before being pushed inside his cabin. Vessel damage consisted of gun shots from at least six bullets fired onboard (STATE).",
2008-242,2008-07-08,"17°53'00""N
76°25'00""W",IV,26,Pirates,Yacht,"JAMAICA: Yacht (JACKAROO) reported attempted boarding 8 Jul 08, while underway, passing Point Morant. The vessel was reportedly approached from astern by two heavily armed men in a 20 ft canoe motor boat. They attempted to board on the starboard side, bent the stanchions and bashed into the yacht. After the perpetrators were not able to board, they moved away. The vessel incurred some damages but the tender was damaged badly. The incident was reported to the Port Antonio Marine Police. No injuries to crew (Operator: noonsite.com).",
2008-226,2008-07-08,"10°57'00""N
63°51'00""W",IV,24,PIRATE BOARDING,SAILBOAT,"VENEZUELA: Sailboat boarded 8 Jul 08 at 2300 local time, Porlamar, Margarita Island. One female crewmember and a baby were on board at the time. The woman was blindfolded with a towel and tied up with duct tape. The intruder went through and searched for money. After 30 minutes the intruder left. The incident was reported to the local police and the VHF Ch. 72.  No injuries to crew (Operator: Noonsite.com).",
2008-232,2008-07-06,"21°48'00""N
91°42'00""E",VIII,63,PIRATES,TANKER VESSEL,"BANGLADESH: Tanker boarded 6 Jul 08 at 0135 local time while at anchorage in position 21-48N 091-42E, Kutubdia Island. Two robbers using a rope and hook boarded the vessel. boat, which had four other robbers and escaped. No injuries to crew. Nothing reported stolen(IMB).",
2008-230,2008-07-06,"12°34'18""N
43°25'36""E",IX,62,SUSPICIOUS APPROACH,UNKNOWN VESSEL,"BAB-EL-MANDEB: Vessel reported suspicious approach 6 Jul 08 at 0745 UTC/0945 local time while underway in position 12-34.3N 043-25.6E, off Perim Island, Yemen. A wooden boat with a blue hull and about 10-15 persons on board approached the vessel from port side. The general alarm was raised and alert crew started water on deck. After approximately 10 minutes of trying to get close to the vessel, the suspicious craft moved away. The vessel sent a security message to other vessels via VHF (IMB, Operator).",
